index,term,value
414,[geo] Deciding on Geoengineering Will Be Harder Than Doing It,1
415,[geo] Newsletter of Week 16 of 2019,1
416,FW: [geo] titanium dioxide,1
417,"[geo] (99+) (PDF) Call for Applications Postdoctoral and Senior Researchers, Centre for Global Cooperation research | Corinne A. Pernet - Academia.edu",1
418,[geo] WP_EcoX_2019-3.pdf,1
419,"[geo] Five thoughts on governance by the C2G2 team / April 10, 2019",1
420,[geo] Newsletter of Week 15 of 2019,1
421,[geo] A non-SRM non-CDR geoengineering project for the Arctic Ocean,1
422,"[geo] Governing geoengineering research for the Great Barrier Reef: Climate Policy: Vol 0, No 0",1
423,"[geo] Presidential candidate Andrew Yang thinks way outside the box on climate change, artificial intelligence and more",1
424,[geo] How to save the Arctic’s moderating role on global warming - BOAS,1
425,[geo] Time for the public to talk about geoengineering,1
426,[geo] Harvard Commentaries on UNEA Nairobi Geoengineering discussion,1
427,[geo] Strategic implications of counter-geoengineering: Clash or cooperation,1
428,[geo] Impacts of sulfate geoengineering on rice yield in China: results from a multi‐model ensemble,1
429,[geo] Framing of Geoengineering Affects Support for Climate Change Mitigation,1
430,[geo] Newsletter for week 14 of 2019,1
431,[geo] N2O geoengineering,1
432,"[geo] Giant Space Mirrors, Engineered Glaciers: Presidential Candidate Andrew Yang Shares His Wildest Plans For Fighting Climate Change",1
433,[geo] PERSPECTIVES ON THE UNEA RESOLUTION,1
434,[geo] Geoengineering charities,1
435,[geo] Digest for geoengineering@googlegroups.com - 1 update in 1 topic,1
436,[geo] Geoengineering Interviews,1
437,[geo] Newsletter for week 13 of 2019,1
438,Fwd: [geo] Visualization: Fork in the road.,1
439,[geo] Visualization: Fork in the road.,1
440,[geo] Let’s Talk About Geoengineering,1
441,[geo] Fwd: Submit a Proposal for Ocean Sciences Meeting 2020,1
442,"[geo] Summer School on geoengineering governance, August 5 - 11, 2019: Applications now open",1
443,[geo] Newsletter of Week 12 of 2019,1
444,[geo] UNEP Nairobi,1
445,[geo] Geoengineering in God’s name - Lockley,1
446,[geo] Expert 'preaches' to Vatican on geoengineering to combat climate change,1
447,[geo] Twitter,1
448,[geo] sgr_seminars_spring_2019.pdf,1
449,"[geo] Countries look at ways to tinker with Earth’s thermostat, Economist",1
450,[geo] Governing Geoengineering at the United Nations?,1
451,[geo] The Geoengineering Model Intercomparison Project (GeoMIP) · Publications,1
452,[geo] GeoMIP publications update,1
453,"[geo] Optimal Climate Strategy with Mitigation, Carbon Removal, and Solar Geoengineering",1
454,[geo] Stratospheric aerosol geoengineering and the polar vortex,1
455,[geo] FAQ on idealized solar geoengineering moderates key climate hazards,1
456,[geo] Debate NYC 18.4.19,1
457,[geo] Halving warming with idealized solar geoengineering moderates key climate hazards,1
458,[geo] Newsletter of Week 11 of 2019,1
459,"[geo] National Academies of Sciences, Engineering, and Medicine 2019. Negative Emissions Technologies and Reliable Sequestration: A Research Agenda.",1
460,"[geo] Governing Geoengineering, BAN KI-MOON",1
461,"[geo] Call for sessions: Designing, planning, and making decisions on policies, practices, and infrastructures under deep uncertainty",1
462,[geo] Geoengineering debate shifts to UN environment assembly,1
463,"[geo] Guest Article: Geoengineering at UNEA-4: Why the SDGs Require a Governance Debate Based on Precaution, Rights and Fairness | SDG Knowledge Hub | IISD",1
464,[geo] Geoengineering on the Agenda at the United Nations Environment Assembly,1
465,[geo] OECPR-4 Highlights,1
466,[geo] Rich man’s solution? Climate engineering discourses and the marginalization of the Global South | SpringerLink,1
467,[geo] Newsletter for week 10 of 2019,1
468,[geo] The 'grandfather' of climate science leaves a final warning for Earth,1
469,[geo] (off topic?) Pakistan to lodge U.N. complaint against India for 'eco-terrorism' forest bombing,1
470,[geo] BBC article on MCB,1
471,[geo] The Governance of Solar Geoengineering: Managing Climate Change in the Anthropocene: Jesse L. Reynolds: 9781107161955: Amazon.com: Books,1
472,[geo] Zotero group library on carbon removal,1
473,[geo] ABC CE show,1
474,[geo] How to Legitimately Govern Geoengineering,1
475,[geo] CIGI publication re developing world,1
476,[geo] Switzerland puts geoengineering governance on UN environment agenda,1
477,[geo] Implications for MCB? Marine stratus clouds disrupted,1
478,[geo] Newsletter of Week 09 of 2019,1
479,[geo] Geoengineering and the blockchain: Coordinating Carbon Dioxide Removal and Solar Radiation Management to tackle future emissions,1
480,[geo] Fall Meeting 2019 - AGU Meetings,1
481,[geo] Postdoc job: Climate consequences of regional climate forcing - Department: DGE – Global Ecology,1
482,[geo] Cool idea or hi-tech madness? Janos Pasztor,1
483,[geo] Event tomorrow,1
484,[geo] Save the date: GRC 2020,1
485,"[geo] Rethinking the Governance of Solar Geoengineering, 21 February UK",1
486,[geo] 2020 Climate Engineering Conference GRC,1
487,[geo] Postdoc: Geophysical modeling of ocean engineering proposals,1
488,[geo] Perceptions of bioenergy with carbon capture and storage in different policy scenarios,1
489,[geo] Newsletter of Week 08 of 2019,1
490,[geo] Does the Fossil Fuel Industry Support Geoengineering?,1
491,[geo] Climate engineering–induced changes in correlations between Earth system variables—implications for appropriate indicator selection | SpringerLink,1
492,[geo] Zeckhauser-Wagner-2019-Implications-of-Uncertainty-and-Ignorance-for-Solar-Geoengineering-brief.pdf,1
493,[geo] C2G2 Geoengineering-Need-for-Governance.pdf,1
494,[geo] Regulation to reduce sulphur from ships,1
495,[geo] Newsletter for week 07 of 2019,1
496,"[geo] Climate Repair lecture, Cambridge UK, 14.2.19, 1900",1
497,[geo] Sea level rise.,1
498,"[geo] [CDR] Carbon capture technologies not yet mature for large-scale use, German gov says | Clean Energy Wire",1
499,[geo] The potential for climate engineering with stratospheric sulfate aerosol injections to reduce climate injustice,1
500,[geo] UCS Position Statement on Solar Geoengineering,1
501,[geo] Detection paper,1
502,[geo] Fwd: SCoPEx Update,1
503,[geo] Newsletter for week 06 of 2019,1
504,[geo] Legitimacy and Non-Domination in Solar Radiation Management Research Patrick Taylor Smith,1
505,[geo] Indigeneity in Geoengineering Discourses,1
506,[geo] Normative issues of geoengineering technologies - ScienceDirect,1
507,[geo] Tilburg cfp,1
508,[geo] [CDR] Daniel Sutter: Politics and the economics of the Carbon Tax - Alabama Today,1
509,[geo] Complementing CO2 emission reduction by Geoengineering might strongly enhance future welfare,1
510,[geo] Newsletter of Week 05 of 2019,1
511,"[geo] Postdoctoral Fellow in International Relations, with an emphasis on Environmental Policy Ref.",1
512,[geo] Simulations of stratospheric sulfate aerosol geoengineering with the Whole Atmosphere Community Climate Model (WACCM): Journal of Geophysical Research: Atmospheres,1
513,[geo] Managing Uncertainties in Climate Engineering - Eos,1
514,[geo] Newsletter for week 04 of 2019,1
515,[geo] Fwd: [CDR] How much can forests fight climate change?,1
516,[geo] Newsletter for week 03 of 2019,1
517,[geo] Promises and caveats of solar geoengineering on the land,1
518,[geo] Toward Legitimate Governance of Solar Geoengineering Research: A Role for Sub-State Actors,1
519,[geo] Mission-driven research for stratospheric aerosol geoengineering | PNAS,1
520,Moderator message: Re[2]: [geo] Stratospheric aerosol injection tactics and costs in the first 15 years of deployment - IOPscience,1
521,[geo] Newsletter of Week 02 of 2019,1
522,[geo] Fwd: Foreign Policy: The Hazard of Environmental Morality,1
523,Fwd: [geo] Stratospheric aerosol injection tactics and costs in the first 15 years of deployment - IOPscience,1
524,[geo] My nutty idea ...,1
525,[geo] Sulfur in the Sky with Diamonds: An Inquiry into the Feasibility of Solar Geoengineering,1
526,[geo] Soil Carbon Sequetration,1
527,[geo] Newsletter of Week 1 of 2019,1
528,"[geo] India Should Demand International, Political Oversight for Geoengineering R&D",1
529,[geo] CCT (edit) from D Mitchell,1
530,[geo] Off Topic,1
531,[geo] Efforts to combat climate change should be pragmatic above all else.,1
532,[geo] governance of the deployment of solar geoengineering Harvard Project on Climate Agreements,1
533,[geo] Newsletter for week 52 of 2018,1
534,[geo] Mind the Gap: Marine Geoengineering and the Law of the Sea,1
535,[geo] Announcing eight new SRM research projects in the Global South,1
536,[geo] Should we engineer the climate? A social scientist and natural scientist discuss,1
537,[geo] Newsletter for week 51 of 2018,1
538,[geo] scopex governance,1
539,[geo] Geoengineering: Should India Tread Carefully or Go Full Steam Ahead?,1
540,[geo] [CDR] Extreme climatic events down-regulate the grassland biomass response to elevated carbon dioxide,1
541,[geo] gizmodo: geoengineering is inevitable,1
542,[geo] Multiple input control strategies for robust and adaptive climate engineering in a low-order 3-box model | Proceedings A,1
543,[geo] How to join CDR group,1
544,[geo] AMDEG-Working-Paper-2-Quantifying-MD-GGR.pdf,1
545,[geo] Ozone thinning seems to promote Antarctic snow fall and ice levels,1
546,[geo] Geoengineering Google group moderator message,1
547,[geo] ACP Cloud-radiative perturbations in deep stratocumulus,1
548,[geo] COP24: here's what must be agreed to keep warming at 1.5°C,1
549,[geo] Newsletter for week 50 of 2018,1
550,[geo] Negative Emissions Canberra Conference Videos,1
551,[geo] Off topic: Temperature-dependent hypoxia explains biogeography and severity of end-Permian marine mass extinction | Science,1
552,[geo] Panelists Call for Creation of World Commission to Handle Solar Radiation Management,1
553,[geo] Global warming will happen faster than we think,1
554,[geo] Harvard Scientists Will Actually Launch a Geoengineering Experiment Next Year,1
555,[geo] Newsletter for week 49 of 2018,1
556,[geo] [CDR] Fw: Negative Emission Potential of Direct Air Capture Powered by Renewable Excess Electricity in Europe,1
557,[geo] 2-year post-doc CDR opportunity at UCS - please help spread the word.,1
558,[geo] Climate Change Geoengineering: Moral Hazard of the Moral Hazard argument - UrbDeZine,1
559,[geo] Solar geoengineering is often inaccurately portrayed in the media,1
560,[geo] First sun-dimming experiment will test a way to cool Earth,1
561,[geo] Fwd: [CDR] The economics of geoengineering (incl CDR),1
562,[geo] Newsletter for week 48 of 2018,1
563,[geo] CDR survey,1
564,[geo] Fw: Negative Emissions Canberra Conference communique,1
565,[geo] Research Fellowship inquiry in Cyclone path prediction with Machine Learning,1
566,[geo] Daniel Callies on the slippery slope argument against geoengineering,1
567,[geo] Fwd: [CDR] Geoengineering: Sunlight reflection methods and negative emissions technologies for greenhouse gas removal,1
568,[geo] Newsletter for week 47 of 2018,1
569,[geo] China’s Plan to Seed Himalayan Clouds Is Geoengineering,1
570,[geo] FUNDING FOR Solar GEOENGINEERING From 2008 TO 2018,1
571,[geo] The Emerging Politics of Geoengineering,1
572,[geo] Solar Geoengineering Research in India,1
573,[geo] Registration opens for Expert and Government Reviews of the Second Order Drafts of two IPCC Special Reports,1
574,[geo] Newsletter for week 46 of 2018,1
575,[geo] Destroying a type of cloud may help stabilise climate change,1
576,"[geo] Lecturer/Associate Professor, Climate Engineering, University of Auckland, New Zealand",1
577,[geo] C2G2_Solar-Brief-hyperlink.pdf,1
578,[geo] Global streamflow and flood response to stratospheric aerosol geoengineering,1
579,[geo] Fwd: Deadline Extended: Submit Your Geoscience and Society Summit Innovation,1
580,[geo] Solar Geoengineering and International Law,1
581,[geo] Newsletter for week 45 of 2018,1
582,[geo] Why the world needs a radically realistic climate vision | Opinion | Eco-Business | Asia Pacific,1
583,[geo] What Lies Beneath report from Breakthrough,1
584,"[geo] Fwd: FW: New Post at An Economic View of the Environment: Controversial, But Important: The Governance of Solar Geoengineering Deployment",1
585,[geo] Exploration of the interactions between mitigation and solar radiation management in cooperative and non-cooperative international governance settings,1
586,[geo] Comparison of the Fast and Slow Climate Response to Three Radiation Management Geoengineering Schemes,1
587,[geo] Newsletter for week 44 of 2018,1
588,[geo] Real-life stories of online harassment — and how scientists got through it,1
589,[geo] Unintended consequences: Climate-hacking poses big ethical questions - CSMonitor.com,1
590,[geo] Fwd: [spp-all] SPP 1689 animation film about »Ambitious climate targets – the role of negative emissions«,1
591,[geo] Iron Salt Aerosol,1
592,"[geo] Egu cfp Ocean-based negative emission technologies: Feasibility, costs and side-effects",1
593,[geo] Harvard Project Conducts Research Workshop on Governance of Solar Geoengineering,1
594,"[geo] Watch ""Stopping the flood – Can we engineer ice sheets and save the homes of a billion people?"" on YouTube",1
595,"[geo] ""Governing Solar Radiation Management"" report event with Livestream, Tuesday Oct 30, Noon EDT",1
596,[geo] Governing the termination problem in solar radiation management,1
597,[geo] Australian Forum for Climate Intervention Governance,1
598,[geo] Newsletter for week 43 of 2018,1
599,[geo] Climate engineering is the potential game changer we need to confront,1
600,[geo] Geoengineering must be transparent to gain public trust - India Climate Dialogue,1
601,[geo] streamed talk on glacier geoengineering,1
602,[geo] Janos-Pasztor-C2G2-Taihu-World-Cultural-Forum-Beijing.pdf,1
603,[geo] Warming waters -> Vit B1 deficiency -> fish & sea bird population collapse,1
604,"[geo] CCT experts wanted, media",1
605,[geo] National Academies Launching New Study on Sunlight-Reflection Research,1
606,[geo] Harvard 2019 SGRP Fellows,1
607,[geo] Did the IPCC bury the lede regarding solar geoengineering?,1
608,"[SPAM] [geo] LESS RAIN BUT STILL WETTER AND GREENER? October 9, 2018 By Pete Irvine, @peteirvine",1
609,[geo] Newsletter for week 42 of 2018,1
610,[geo] Climatic Responses to Future Trans‐Arctic Shipping - Stephenson - - Geophysical Research Letters - Wiley Online Library,1
611,[geo] Geoengineering Is Inevitable,1
612,[geo] Governing Solar Radiation Management | CSPO,1
613,[geo] My take on the IPCC SR15 - including regarding geoengineering,1
614,[geo] The Engineering of Climate Engineering,1
615,[geo] Abridged summary of geoengineering@googlegroups.com - 9 updates in 3 topics,1
616,"[geo] Geoengineering Justice: The Role of Recognition - Marion Hourdequin, 2018",1
617,[geo] Newsletter for week 41 of 2018,1
618,[geo] US Senate science advisor talks geoengineering from high in the sky,1
619,[geo] Huh? Carbon Dioxide Emissions Raise Risk of Satellite Collisions - Scientific American,1
620,[geo] Caution urged over use of 'carbon unicorns' to limit warming - BBC News,1
621,[geo] [CDR] Ocean Solutions to Address Climate Change and Its Effects on Marine Ecosystems,1
622,[geo] Marine geoengineering including ocean fertilization to be regulated under amendments to international treaty,1
623,[geo] Manifesto Against Geoengineering,1
624,[geo] Cloud seeding in Tibet,1
625,[geo] IASS on IPCC 1.5,1
626,[geo] Designer Climates? Ben Kravitz,1
627,[geo] Newsletter for week 40 of 2018,1
628,[geo] Climate engineering needs a clean bill of health,1
629,[geo] Newsletter for week 39 of 2018,1
630,[geo] [CDR] Frequently Asked Questions on 1.5°C and Geoengineering,1
631,[geo] Optimal geoengineering experiments,1
632,"[geo] Geoengineering our Climate? Ethics, Politics, and Governance, Edited by Jason J. Blackstock, Sean Low",1
633,[geo] Frequently Asked Questions on 1.5°C and Geoengineering,1
634,[geo] New paper on governance of BECCS,1
635,[geo] Women in geo,1
636,[geo] Climate Engineering Newsletter for week 38 of 2018,1
637,[geo] Methods of comparing geoengineering proposals,1
638,[geo] Democracy Now: A Debate on Geoengineering: Should We Deliberately “Hack” Planet Earth to Combat Climate Change?,1
639,[geo] Evaluating climate geoengineering proposals in the context of the Paris Agreement temperature goals,1
640,[geo] [CDR] A risk-seeking future,1
641,[geo] Newsletter for week 37 of 2018,1
642,[geo] Geoengineering and Capitalism's Creative Destruction of the Earth,1
643,[geo] Fwd: [CDR] Can solar and wind energy increase rainfall and vegetation?,1
644,[geo] Newsletter for week 36 of 2018,1
645,[geo] [CDR] Sensitivity of atmospheric CO2 growth rate to observed changes in terrestrial water storage,1
646,[geo] Arctic Sea Ice Melt: Baked In,1
647,[geo] CFP - The Governance of Emerging Disruptive Technologies,1
648,[geo] Fwd: Open-air experiments: Coming to America(s),1
649,[geo] Newsletter for week 35 of 2018,1
650,[geo] Geoengineering and Coral Farming are now being tested to save World’s Coral,1
651,[geo] Social fields and natural systems: integrating knowledge about society and nature,1
652,[geo] Geoengineering: How to fall in love with your snow globe world,1
653,[geo] The Evidentiary Politics of the Geoengineering Imaginary,1
654,[geo] Solar geoengineering session at Scenarios Forum 2019,1
655,[geo] The IPCC and the new map of science and politics,1
656,"[geo] TURNING THE GLOBAL THERMOSTAT—WHO,  WHEN, AND HOW MUCH?",1
657,[geo] How to govern the risks of stratospheric aerosol injection solar radiation management,1
658,[geo] Triose phosphate limitation in photosynthesis models reduces leaf photosynthesis and global terrestrial carbon storage - IOPscience,1
659,[geo] Newsletter for week 34 of 2018,1
660,[geo] Geoengineering: Counteracting Climate Change - The Book,1
661,[geo] Restricting global warming to 1.5C would ‘halve’ risk of marine heatwaves,1
662,"[geo] Atmospheric Feedbacks from an Irrigated, Afforested Sahara in Northern Africa",1
663,[geo] Diverging Regional Climate Preferences and the Assessment of Solar Geoengineering,1
664,[geo] [CDR] Ocean carbon versus land carbon sequestration,1
665,[geo] Newsletter for week 33 of 2018,1
666,[geo] Reassessment of pre-industrial fire emissions strongly affects anthropogenic aerosol forcing | Nature Communications,1
667,[geo] Strategic Implications of Counter-Geoengineering,1
668,[geo] Glacier geoengineering needs lawyers too,1
669,[geo] Land BECCS might add to CO2,1
670,[geo] Modeling the Effects of Geoengineering,1
671,[geo] Trajectories of the Earth System in the Anthropocene | PNAS,1
672,[geo] Breaking the Deadlock between Gaians and Prometheans,1
673,[geo] The International Politics of Climate Engineering: A Review and Prospectus for International Relations,1
674,[geo] Newsletter for week 32 of 2018,1
675,[geo] Boosting coral abundance on the Great Barrier Reef,1
676,[geo] Solar radiation management geoengineering and strict liability for ultrahazardous activities,1
677,[geo] Ph.D. Opportunity at U. Tasmania,1
678,[geo] Expected limits on the ocean acidification buffering potential of a temperate seagrass meadow,1
679,[geo] Ocean Storage of CO2,1
680,"[geo] Harvard job: Program Director, Harvard's Solar Geoengineering Research Program (SGRP) and Program Manager of the Keith Group and SCoPEx",1
681,[geo] Geoengineering the Great Barrier Reef needs strong rules,1
682,[geo] PhD: Weather Modification in Australia and the United States: What Lessons for Governing Regional Climate Intervention?,1
683,"[geo] Extreme temperature and precipitation response to solar dimming and stratospheric aerosol geoengineering, Atmos. Chem. Phys., 18, 10133-10156,",1
684,[geo] Newsletter of Week 31 of 2018,1
685,[geo] Power and responsibility in a broken world,1
686,[geo] The King Of Climate Fiction Makes The Left's Case For Geoengineering,1
687,[geo] Brief communication: Understanding solar geoengineering's potential to limit sea level rise requires attention from cryosphere experts,1
688,[geo] How one climate scientist combats threats and misinformation from chemtrail conspiracists,1
689,"[geo] Buying Time with Climate Engineering? An analysis of the buying time framing in favor of climate engineering Neuber, Frederike",1
690,"[geo] Reminder: AGU session, “Understanding the Climatic and Societal Impacts of Past and Future Explosive Volcanism” (GC093)",1
691,[geo] Reduced cooling by future volcanic eruptions,1
692,"[geo] [CDR] A 3rd, new and less intrusive geoengineering approach",1
693,[geo] Job+Description+-+Policy+Associate+(PDF).pdf,1
694,[geo] 1st August Deadline for abstract submission - solar geoengineering session at AGU,1
695,[geo] Climate Engineering Newsletter for week 30 of 2018,1
696,[geo] Climate Response to Aerosol Geoengineering: A Multimethod Comparison,1
697,[CDR] [geo] Lomborg on Paris,1
698,[geo] could seeding: new and efficient material developed,1
699,"[geo] Fwd: [CDR] A 3rd, new and less intrusive geoengineering approach",1
700,[geo] Do climate engineering experts display moral-hazard behaviour?,1
701,[geo] GEOENGINEERING AND JUSTICE: WHAT DOES CLIMATE MODELLING TELL US?,1
702,[geo] Controversial climate fix poses new question: Is geoengineering playing God?,1
703,[geo] Are Geoengineers Basically Immoral? – Nori – Medium,1
704,[geo] Climate Engineering Newsletter for week 29 of 2018,1
705,"[geo] Law, Climate, Geoengineering, and Indigenous Peoples: 4th Tony Oposa Intergenerational Moot Court",1
706,[geo] climate change future is here,1
707,"[geo] Intellectual ventures: Patent law, climate change, and geoengineering - Rimmer,",1
708,[geo] 1094-Article Text-4628-1-10-20180702.pdf,1
709,[geo] Fiddling while Rome burns,1
710,[geo] Fwd: [GeoMIP_list] Interesting workshop,1
711,[geo] Vacancy with Carnegie Climate Geoengineering Governance Initiative (C2G2),1
712,[geo] Climate Engineering Newsletter for week 28 of 2018,1
713,[geo] Academic Minute podcast on geoengineering,1
714,[geo] The Best Way to Shade Earth - Scientific American,1
715,[geo] Briefing paper on knowledge gaps re:CBD,1
716,[geo] Climate Engineering Newsletter for week 27 of 2018,1
717,[geo] A statistical examination of the effects of stratospheric sulfate geoengineering on tropical storm genesis,1
718,[geo] Jobs at carbon engineering,1
719,[geo] Climate Engineering Newsletter for week 26 of 2018,1
720,[geo] Webinar June 26: What We Know and Don't Know about Negative Emissions,1
721,[geo] Fall AGU session: GC093: Understanding the Climatic and Societal Impacts of Past and Future Explosive Volcanism,1
722,"[geo] An Assessment of Climate Engineering from a Buddhist Perspective | Markus | Journal for the Study of Religion, Nature and Culture",1
723,[geo] Climate Engineering Newsletter for week 25 of 2018,1
724,[geo] Fw: [HCA] Fwd: [climate justice now!] Fwd: New Geoengineering Technology Factsheets,1
725,[geo] Fwd: Fw: [HCA] Fwd: [climate justice now!] Fwd: New Geoengineering Technology Factsheets,1
726,[geo] AGU session on solar geoengineering accepting abstract submissions now!,1
727,[geo] Sea level,1
728,[geo] Cost-Risk Trade-Off of Mitigation and Solar Geoengineering: Considering Regional Disparities Under Probabilistic Climate Sensitivity | SpringerLink,1
729,[geo] Climate Engineering Newsletter for week 24 of 2018,1
730,[geo] Higher CO 2 concentrations increase extreme event risk in a 1.5 °C world | Nature Climate Change,1
731,[geo] What does the public think about solar geoengineering research?,1
732,[geo] vbhh Updates: Governance and Experiments,1
733,[geo] Sucking carbon dioxide from air is cheaper than scientists thought,1
734,"[geo] De facto governance: how authoritative assessments construct climate engineering as an object of governance: Environmental Politics: Vol 0, No 0",1
735,[geo] Confronting 'The Synthetic Age' With Christopher James Preston | MTPR,1
736,[geo] Chalecki_Ferrari.pdf,1
737,[geo] The Ethics of Geo-engineering - Robin Attfield - Proceedings of the XXIII World Congress of Philosophy (Philosophy Documentation Center),1
738,[geo] Frontiers | On the Political Economy of Solar Radiation Management | Environmental Science,1
739,[geo] Climate Engineering Newsletter for week 23 of 2018,1
740,[geo] Engineer solar solutions locally to save water by  Russell Seitz,1
741,"[geo] Next steps in geoengineering scenario research: limited deployment scenarios and beyond: Climate Policy: Vol 18, No 6",1
742,"[geo] Carbon Removal, Solar Geoengineering, and the Sustainable Development Goals - C2G2",1
743,[geo] Geoengineering Updates: Governance and Experiments,1
744,[geo] A dusting of salt could cool the planet | Science | AAAS,1
745,[geo] cesifo1_wp7059.pdf,1
746,[geo] Fwd: Frontiers: Article Published,1
747,[geo] UCLA School of Law receives $4.3M donation as part of Centennial Campaign | Daily Bruin,1
748,[geo] Nature Letter - India forges ahead with solar-geoengineering studies,1
749,[geo] Strategic philanthropy in the post‐Cap‐and‐Trade years: Reviewing U.S. climate and energy foundation funding,1
750,[geo] Carnegieendowment.org on research register,1
751,"[geo] Fast, cheap, and imperfect? US public opinion about solar geoengineering",1
752,[geo] Policy-brief-2018_04_Kreuter_Climate-engineering-and-political-decision-making-1.pdf,1
753,[geo] Quantifying the impact of sulfate geoengineering on mortality from air quality and UV-B exposure,1
754,[geo] CESM1(WACCM) Stratospheric Aerosol Geoengineering Large Ensemble (GLENS) Project,1
755,[geo] Climate Engineering Newsletter for week 22 of 2018,1
756,[geo] Whose climate and whose ethics? Conceptions of justice in solar geoengineering modelling Duncan P. McLaren,1
757,[geo] Geo-engineering research - GOV.UK,1
758,[geo] Climate Engineering Newsletter for week 21 of 2018,1
759,[geo] Citizen's Jury - CE-Project,1
760,[geo] Stratospheric response in the first geoengineering simulation meeting multiple surface climate objectives - Richter - - Journal of Geophysical Research: Atmospheres - Wiley Online Library,1
761,[geo] Super Soy to Cool Earth but…,1
762,[geo] Exploring perceptions of ocean fertilisation through the Haida Salmon Restoration Corporation,1
763,[geo] Why Govern Climate Engineering? A Preliminary Framework for Demand-Based Governance | International Studies Review | Oxford Academic,1
764,[geo] Climate Engineering Newsletter for week 20 of 2018,1
765,[geo] Climate Engineering Newsletter for week 19 of 2018,1
766,[geo] Hawaii targeted? Global weather control links,1
767,[geo] Reynolds-2018-Governing-Experimental-Responses.pdf,1
768,"[geo] (off topic) preparing for low probability, high impact events",1
769,[geo] Paths toward decisions on solar geoengineering,1
770,[geo] Why we chose not to patent solar geoengineering technologies,1
771,[geo] Production of Sulfates Onboard an Aircraft: Implications for the Cost and Feasibility of Stratospheric Solar Geoengineering,1
772,[geo] The Dangerous Belief That Extreme Technology Will Fix Climate Change,1
773,[geo] Climate Engineering Newsletter for week 18 of 2018,1
774,"[geo] Ship tracks, sentinel",1
775,[geo] Dispute title - Geoengineering might speed glacier melt,1
776,[geo] Geoengineering 101,1
777,[geo] Fwd: [CDR] Climate Engineering and the Law on SRM and CDR -- April 2018,1
778,"[geo] Fwd: [CDR] Rand Corp weighs in on ""climate restoration""",1
779,[geo] Some Geoengineering history,1
780,[geo] Jobs at UCS | Union of Concerned Scientists,1
781,"[geo] Deadline extended to May 7 for Sustainable Society Conference in Havana, Cuba",1
782,[geo] ACPD - Global streamflow and flood response to stratospheric aerosol geoengineering,1
783,[geo] Climate Engineering Newsletter for week 17 of 2018,1
784,[geo] New Scientist,1
785,"[geo] In a broken world: Towards an ethics of repair in the Anthropocene - Duncan P McLaren, 2018",1
786,[geo] Climate Engineering Newsletter for week 16 of 2018,1
787,[geo] Climate Mitigation Reforestation can hurt local biodiversity,1
788,[geo] Geoengineering and United Nations General Assembly Motion 101292 (UNFCCC-TAL-SRS02/04/2018),1
789,[geo] Assessing Carbon Dioxide Removal Webinar April 17,1
790,[geo] Climate Engineering Newsletter for week 15 of 2018,1
791,[geo] [CDR] Carbon XPRIZE Announces 10 Finalists,1
792,[geo] Rules to govern sun-dimming technology 'urgently' needed - expert,1
793,[geo] Will fire danger be reduced by using Solar Radiation Management to limit global warming to 1.5°C compared to 2.0°C? - Burton - GRL - Wiley,1
794,"[geo] Carbon taxes can be both fair and effective, study shows (starting with a $50 per ton carbon tax)",1
795,[geo] CO2 Mineral Sequestration in Naturally Porous Basalt,1
796,[geo] Fwd: [CDR] Assessing carbon dioxide removal through global and regional ocean alkalinization under high and low emission pathways,1
797,[geo] Live stream today - 2130EDT,1
798,[geo] CDRMIP X-post,1
799,[geo] DECIMALS Fund – call for proposals opens today,1
800,[geo] solar geoengineering research legitimacy | Phil Trans A,1
801,[geo] Developing countries must lead on solar geoengineering research,1
802,[geo] Fwd: [CDR] CDR in CMIP6,1
803,[geo] AFP: Two degrees no longer seen as global warming guardrail,1
804,[geo] Climate Engineering Newsletter for week 14 of 2018,1
805,"[geo] ""The Case for Public Roles in Climate Engineering Governance"" Event at ASU",1
806,[geo] China needs more water. So it's building a rain-making network three times the size of Spain,1
807,[geo] Sleepwalking into lock-in?,1
808,[geo] The Politics and Governance of Negative Emissions Technologies | SpringerLink,1
809,[geo] Climate Engineering Newsletter for week 13 of 2018,1
810,[geo] An economic evaluation of solar radiation management - ScienceDirect,1
811,[geo] ACPD - Extreme temperature and precipitation response to solar dimming and stratospheric aerosol geoengineering,1
812,[geo] Climate Engineering Newsletter for week 12 of 2018,1
813,[geo] Geoengineering and sustainability,1
814,[geo] Perspectives on solar geoengineering from Finnish Lapland: Local insights on the global imaginary of Arctic geoengineering,1
815,[geo] [CDR] Medium      Is Geoengineering an Immorality of Last Resort?,1
816,[geo] Fwd: [CDR] Medium Is Geoengineering an Immorality of Last Resort?,1
817,[geo] Using lasers to remove CO2,1
818,[geo] Geoengineer polar glaciers to slow sea-level rise,1
819,"[geo] Mirage on the Horizon: Geoengineering and Carbon Taxation Without Commitment by Daron Acemoglu, Will Rafey :: SSRN",1
820,[geo] Supervolcanic eruptions don’t always have global effects,1
821,[geo] Climate Engineering Newsletter for week 11 of 2018,1
822,[geo] New paper on SRM's termination shock,1
823,[geo] climate engineering and human rights,1
824,[geo] Geoengineering and temperature extremes,1
825,[geo] Geoengineering and Precipitation Extremes,1
826,[geo] Intellectual Property Policies for Solar Geoengineering - Advanced Science News,1
827,[geo] Climate Impacts From a Removal of Anthropogenic Aerosol Emissions - Samset - GRL - Wiley,1
